Company,Value
Company A,0.3952
Company A,0.3926
Company A,0.387
Company A,0.3737
Company A,0.3723
Company A,0.3706
Company A,0.3756
Company A,0.3873
Company A,0.3623
Company A,0.4129
Company A,0.3882
Company A,0.3758
Company A,0.3996
Company A,0.3951
Company A,0.3696
Company A,0.3486
Company A,0.3995
Company A,0.3904
Company A,0.3625
Company A,0.4166
Company A,0.3619
Company A,0.3989
Company A,0.3974
Company A,0.3645
Company A,0.381
Company A,0.3814
Company A,0.3955
Company A,0.3579
Company A,0.366
Company A,0.3871
Company A,0.4002
Company A,0.3858
Company A,0.3958
Company A,0.3875
Company A,0.3915
Company A,0.3897
Company A,0.4139
Company A,0.3642
Company A,0.3394
Company A,0.368
Company A,0.4299
Company A,0.3911
Company A,0.3979
Company A,0.3295
Company A,0.349
Company A,0.3887
Company A,0.3674
Company A,0.3304
Company A,0.3809
Company A,0.3695
Company A,0.3998
Company A,0.3823
Company A,0.3945
Company A,0.3962
Company A,0.3723
Company A,0.3657
Company A,0.3765
Company A,0.4306
Company A,0.4252
Company A,0.373
Company A,0.3861
Company A,0.4248
Company A,0.3987
Company A,0.3865
Company A,0.3482
Company A,0.3838
Company A,0.3712
Company A,0.3871
Company A,0.4033
Company A,0.3896
Company A,0.3896
Company A,0.3772
Company A,0.3791
Company A,0.3727
Company A,0.3799
Company A,0.376
Company A,0.3958
Company A,0.3383
Company A,0.3732
Company A,0.3999
Company A,0.3683
Company A,0.4013
Company A,0.3689
Company A,0.3887
Company A,0.3721
Company A,0.3932
Company A,0.371
Company A,0.3635
Company A,0.3755
Company A,0.3808
Company A,0.3678
Company A,0.3905
Company A,0.3802
Company A,0.3444
Company A,0.3564
Company A,0.3944
Company A,0.3769
Company A,0.4279
Company A,0.4081
Company A,0.3731
Company A,0.3786
Company A,0.3989
Company A,0.3864
Company A,0.3982
Company A,0.4003
Company A,0.3624
Company A,0.3785
Company A,0.38
Company A,0.383
Company A,0.3846
Company A,0.4067
Company A,0.3784
Company A,0.3675
Company A,0.4088
Company A,0.3598
Company A,0.4109
Company A,0.4104
Company A,0.4166
Company A,0.3864
Company A,0.3812
Company A,0.3622
